"Innehavare av positionen 
(Position holder)","Namn på emittent 
(Name of the issuer)",ISIN,Position i procent (Position in per cent),"Datum för positionen 
(Position date)",Kommentar (Comment)
ALCUR FONDER AB,JM AB,SE0000806994,"1,89",2023-05-04,
Capital Fund Management SA,BHG Group AB,SE0010948588,"1,19",2023-05-04,
FIFTHDELTA Ltd,Volvo Car AB,SE0016844831,"0,67",2023-05-04,
Citadel Advisors Europe Limited,Fabege AB,SE0011166974,"0,92",2023-05-04,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"0,71",2023-05-04,
Qube Research & Technologies Limited,Stillfront Group AB (publ),SE0015346135,"0,52",2023-05-04,
Marshall Wace LLP,Sinch AB (publ),SE0016101844,"2,22",2023-05-04,
Acadian Asset Management LLC,BHG Group AB,SE0010948588,"0,67",2023-05-04,
Qube Research & Technologies Limited,Thule Group AB,SE0006422390,"<0,5",2023-05-04,
Marshall Wace LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,1,2023-05-04,
Marshall Wace LLP,Intrum AB,SE0000936478,"0,69",2023-05-04,
Qube Research & Technologies Limited,Intrum AB,SE0000936478,"0,59",2023-05-04,
Helikon Investments Limited,JM AB,SE0000806994,"0,73",2023-05-04,
Marble Bar Asset Management LLP,Intrum AB,SE0000936478,"0,73",2023-05-04,
Marble Bar Asset Management LLP,Hexatronic Group AB,SE0018040677,1,2023-05-04,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"1,2",2023-05-04,
WORLDQUANT LLC,BHG Group AB,SE0010948588,"<0,5",2023-05-04,
HRTEU Limited ,Cint Group AB (publ),SE0015483276,"0,71",2023-05-04,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,75",2023-05-04,
Kuvari Partners LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,81",2023-05-04,
Citadel Advisors LLC,Cint Group AB (publ),SE0015483276,"<0,5",2023-05-04,
Citadel Advisors LLC,Fabege AB,SE0011166974,"0,56",2023-05-04,
Systematica Investments Limited,Powercell Sweden AB (publ),SE0006425815,"0,6",2023-05-04,
AKO Capital LLP,Mips AB,SE0009216278,"1,71",2023-05-04,
Arrowstreet Capital Limited Partnership,Cint Group AB (publ),SE0015483276,"1,05",2023-05-04,
Gladstone Capital Management LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,2",2023-05-04,
Gladstone Capital Management LLP,Sinch AB (publ),SE0016101844,"1,19",2023-05-04,
Two Creeks Capital Management LP,Castellum Aktiebolag,SE0000379190,"0,69",2023-05-04,
59 North Capital Management LP,Intrum AB,SE0000936478,"2,72",2023-05-04,
Point72 Asset Management LP,Sinch AB (publ),SE0016101844,"0,52",2023-05-03,
Point72 Asset Management LP,Orrön Energy AB,SE0000825820,"2,51",2023-05-03,
Astaris Capital Management LLP,SAS AB,SE0003366871,"2,02",2023-05-03,
AHL Partners LLP,Hexatronic Group AB,SE0018040677,"0,6",2023-05-03,
SCHONFELD STRATEGIC ADVISORS (UK) LLP,Orrön Energy AB,SE0000825820,"1,3",2023-05-03,
Mirabella Financial Services LLP,JM AB,SE0000806994,"1,41",2023-05-03,
Perbak Capital Partners LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,27",2023-05-03,
Schonfeld Strategic Advisors LLC,Orrön Energy AB,SE0000825820,"<0,5",2023-05-03,
WORLDQUANT LLC,Orrön Energy AB,SE0000825820,"1,83",2023-05-03,
AQR Capital Management LLC,Svenska Cellulosa Aktiebolaget SCA,SE0000112724,"0,61",2023-05-03,
Qube Research & Technologies Limited,Mips AB,SE0009216278,"0,68",2023-05-03,
Qube Research & Technologies Limited,Intrum AB,SE0000936478,"0,61",2023-05-03,
Citadel Advisors Europe Limited,Fabege AB,SE0011166974,"0,64",2023-05-03,
AQR Capital Management LLC,Aktiebolaget Electrolux,SE0016589188,"0,59",2023-05-03,
WORLDQUANT LLC,Africa Oil Corp.,CA00829Q1019,"0,61",2023-05-03,
Marble Bar Asset Management LLP,Stillfront Group AB (publ),SE0015346135,"<0,5",2023-05-03,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"1,08",2023-05-03,
Marble Bar Asset Management LLP,Modern Times Group MTG AB,SE0018012494,"<0,5",2023-05-03,
Marble Bar Asset Management LLP,Intrum AB,SE0000936478,"0,8",2023-05-03,
Marshall Wace LLP,Avanza Bank Holding AB,SE0012454072,"0,65",2023-05-03,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Avanza Bank Holding AB,SE0012454072,"0,5",2023-05-03,
 Millennium Capital Partners LLP ,Svenska Cellulosa Aktiebolaget SCA,SE0000112724,"0,6",2023-05-03,
Citadel Advisors LLC,Cint Group AB (publ),SE0015483276,"0,58",2023-05-03,
BlackRock Investment Management (UK) Limited,Securitas AB,SE0000163594,"1,2",2023-05-03,
AKO Capital LLP,Thule Group AB,SE0006422390,"1,02",2023-05-03,
Gladstone Capital Management LLP,Sinch AB (publ),SE0016101844,"1,08",2023-05-03,
ELEVA CAPITAL S.A.S,Avanza Bank Holding AB,SE0012454072,"0,61",2023-05-03,
Walleye Capital LLC,JM AB,SE0000806994,"0,65",2023-05-03,
Arrowstreet Capital Limited Partnership,Fingerprint Cards AB,SE0008374250,"0,51",2023-05-03,
Shadowfall Capital & Research LLP,Dometic Group AB (publ),SE0007691613,"<0,5",2023-05-03,
Schonfeld Strategic Advisors LLC,Orrön Energy AB,SE0000825820,"0,5",2023-05-02,
Point72 Asset Management LP,SAAB Aktiebolag,SE0000112385,"<0,5",2023-05-02,
Point72 Asset Management LP,Orrön Energy AB,SE0000825820,"2,44",2023-05-02,
Point72 Europe (London) LLP,Sinch AB (publ),SE0016101844,"1,65",2023-05-02,
GSA Capital Partners LLP,Fingerprint Cards AB,SE0008374250,"1,33",2023-05-02,
Kintbury Capital LLP,Securitas AB,SE0000163594,"<0,5",2023-05-02,
Kintbury Capital LLP,Husqvarna AB,SE0001662230,"0,68",2023-05-02,
Kintbury Capital LLP,Embracer Group AB,SE0016828511,"0,68",2023-05-02,
Point72 Asset Management LP,Castellum Aktiebolag,SE0000379190,"0,5",2023-05-02,
ALCUR FONDER AB,Clas Ohlson Aktiebolag,SE0000584948,2,2023-05-02,
JPMorgan Asset Management (UK) Ltd,Viaplay Group AB (publ),SE0012116390,"0,7",2023-05-02,
Praxis Alpha Partners LLP,JM AB,SE0000806994,"0,76",2023-05-02,
Marshall Wace LLP,Stillfront Group AB (publ),SE0015346135,"<0,5",2023-05-02,
Marble Bar Asset Management LLP,Stillfront Group AB (publ),SE0015346135,"0,6",2023-05-02,
Marshall Wace LLP,Sinch AB (publ),SE0016101844,"2,1",2023-05-02,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"0,96",2023-05-02,
Gladstone Capital Management LLP,Hexatronic Group AB,SE0018040677,"0,81",2023-05-02,
Citadel Advisors LLC,BHG Group AB,SE0010948588,"0,81",2023-05-02,
WORLDQUANT LLC,Orrön Energy AB,SE0000825820,"1,75",2023-05-02,
Qube Research & Technologies Limited,Thule Group AB,SE0006422390,"0,56",2023-05-02,
Qube Research & Technologies Limited,Aktiebolaget Electrolux,SE0016589188,"0,8",2023-05-02,
WORLDQUANT LLC,Telefonaktiebolaget LM Ericsson,SE0000108656,"0,5",2023-05-02,
Helikon Investments Limited,JM AB,SE0000806994,"0,6",2023-05-02,
WORLDQUANT LLC,Aktiebolaget Electrolux,SE0016589188,"<0,5",2023-05-02,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"<0,5",2023-05-02,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"0,62",2023-05-02,
 Millennium Capital Partners LLP ,Svenska Cellulosa Aktiebolaget SCA,SE0000112724,"0,57",2023-05-02,
Millennium Capital Management (Mauritius) Ltd,Avanza Bank Holding AB,SE0012454072,"0,65",2023-05-02,
Odey Asset Management LLP,Samhällsbyggnadsbolaget i Norden AB,SE0011844091,"<0,5",2023-05-02,
CapeView Capital LLP,Hexatronic Group AB,SE0018040677,"<0,5",2023-05-02,
Systematica Investments Limited,JM AB,SE0000806994,"0,59",2023-05-02,
ELEVA CAPITAL S.A.S,Avanza Bank Holding AB,SE0012454072,"0,5",2023-05-02,
Voleon Capital Management LP,Hansa Biopharma AB,SE0002148817,"0,68",2023-05-02,
Arrowstreet Capital Limited Partnership,Cint Group AB (publ),SE0015483276,"0,91",2023-05-02,
Point72 Europe (London) LLP,Sinch AB (publ),SE0016101844,"1,53",2023-05-01,
Qube Research & Technologies Limited,Aktiebolaget Electrolux,SE0016589188,"0,69",2023-05-01,
Viking Global Investors LP,Svenska Handelsbanken AB,SE0007100599,"0,72",2023-04-28,
AHL Partners LLP,Intrum AB,SE0000936478,"0,61",2023-04-28,
Samlyn Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"2,45",2023-04-28,
Capital Fund Management SA,BHG Group AB,SE0010948588,"1,24",2023-04-28,
Perbak Capital Partners LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,09",2023-04-28,
Marble Bar Asset Management LLP,Intrum AB,SE0000936478,"0,77",2023-04-28,
ALCUR FONDER AB,JM AB,SE0000806994,"1,99",2023-04-28,
Qube Research & Technologies Limited,Aktiebolaget Electrolux,SE0016589188,"0,71",2023-04-28,
Qube Research & Technologies Limited,Intrum AB,SE0000936478,"0,89",2023-04-28,
Mirabella Financial Services LLP,JM AB,SE0000806994,"1,33",2023-04-28,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,42",2023-04-28,
Citadel Advisors LLC,Resurs Holding AB (publ),SE0007665823,"0,72",2023-04-28,
Citadel Advisors LLC,BHG Group AB,SE0010948588,"0,78",2023-04-28,
Citadel Advisors LLC,Mips AB,SE0009216278,"<0,5",2023-04-28,
Citadel Advisors LLC,Elekta AB (publ),SE0000163628,"1,79",2023-04-28,
Marshall Wace LLP,Telia Company AB,SE0000667925,"0,99",2023-04-28,
Marshall Wace LLP,Sinch AB (publ),SE0016101844,"2,29",2023-04-28,
Marshall Wace LLP,Intrum AB,SE0000936478,"0,75",2023-04-28,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"0,88",2023-04-28,
Marshall Wace LLP,Clas Ohlson Aktiebolag,SE0000584948,"0,59",2023-04-28,
Marshall Wace LLP,Avanza Bank Holding AB,SE0012454072,"0,53",2023-04-28,
WORLDQUANT LLC,SkiStar Aktiebolag,SE0012141687,"<0,5",2023-04-28,
WORLDQUANT LLC,Orrön Energy AB,SE0000825820,"1,69",2023-04-28,
WORLDQUANT LLC,Aktiebolaget Electrolux,SE0016589188,"0,5",2023-04-28,
Walleye Capital LLC,Bonava AB (publ),SE0008091581,"0,51",2023-04-28,
Helikon Investments Limited,JM AB,SE0000806994,"0,53",2023-04-28,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"0,64",2023-04-28,
AKO Capital LLP,Mips AB,SE0009216278,"1,61",2023-04-28,
AKO Capital LLP,Aktiebolaget Electrolux,SE0016589188,"<0,5",2023-04-28,
Praxis Alpha Partners LLP,JM AB,SE0000806994,"0,68",2023-04-28,
Point72 Europe (London) LLP,Sinch AB (publ),SE0016101844,"1,43",2023-04-27,
Point72 Europe (London) LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"<0,5",2023-04-27,
59 North Capital Management LP,Hexatronic Group AB,SE0018040677,"0,95",2023-04-27,
59 North Capital Management LP,Intrum AB,SE0000936478,"2,38",2023-04-27,
Marble Bar Asset Management LLP,Hexatronic Group AB,SE0018040677,"0,98",2023-04-27,
Acadian Asset Management LLC,VNV Global AB (publ),SE0014428835,"0,88",2023-04-27,
Perbak Capital Partners LLP,Embracer Group AB,SE0016828511,"0,65",2023-04-27,
Marshall Wace LLP,Sinch AB (publ),SE0016101844,"2,35",2023-04-27,
Marshall Wace LLP,Intrum AB,SE0000936478,"0,84",2023-04-27,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"1,03",2023-04-27,
GSA Capital Partners LLP,Fingerprint Cards AB,SE0008374250,"1,26",2023-04-27,
Balyasny Asset Management (UK) LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,6",2023-04-27,
Qube Research & Technologies Limited,Intrum AB,SE0000936478,"0,77",2023-04-27,
WORLDQUANT LLC,Orrön Energy AB,SE0000825820,"1,71",2023-04-27,
ALCUR FONDER AB,Intrum AB,SE0000936478,"0,92",2023-04-27,
Citadel Advisors LLC,Boliden AB,SE0017768716,"<0,5",2023-04-27,
Schonfeld Strategic Advisors LLC,Orrön Energy AB,SE0000825820,"<0,5",2023-04-27,
Citadel Advisors Europe Limited,Aktiebolaget SKF,SE0000108227,"0,51",2023-04-27,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,63",2023-04-27,
Millennium Capital Management (Mauritius) Ltd,Avanza Bank Holding AB,SE0012454072,"0,5",2023-04-27,
Citadel Advisors LLC,Clas Ohlson Aktiebolag,SE0000584948,"<0,5",2023-04-27,
Rye Bay Capital LLP,JM AB,SE0000806994,"0,64",2023-04-27,
Citadel Advisors LLC,BHG Group AB,SE0010948588,"0,81",2023-04-27,
Voleon Capital Management LP,Hansa Biopharma AB,SE0002148817,"0,7",2023-04-27,
AHL Partners LLP,Intrum AB,SE0000936478,"0,55",2023-04-27,
BlackRock Financial Management Inc,Intrum AB,SE0000936478,"0,59",2023-04-27,
CapeView Capital LLP,Hexatronic Group AB,SE0018040677,"0,5",2023-04-27,
Viking Global Investors LP,Svenska Handelsbanken AB,SE0007100599,"0,63",2023-04-27,
Arrowstreet Capital Limited Partnership,Cint Group AB (publ),SE0015483276,"0,82",2023-04-27,
Shadowfall Capital & Research LLP,Dometic Group AB (publ),SE0007691613,"0,53",2023-04-27,
AQR Capital Management LLC,Aktiebolaget Electrolux,SE0016589188,"0,6",2023-04-26,
Morgan Stanley,DistIT AB,SE0003883800,"<0,5",2023-04-26,
JPMorgan Asset Management (UK) Ltd,Resurs Holding AB (publ),SE0007665823,"0,67",2023-04-26,
THUNDERBIRD PARTNERS LLP,Mips AB,SE0009216278,"1,52",2023-04-26,
Marble Bar Asset Management LLP,Hexatronic Group AB,SE0018040677,"0,86",2023-04-26,
ELEVA CAPITAL S.A.S,Hexatronic Group AB,SE0018040677,"0,85",2023-04-26,
Marshall Wace LLP,Telia Company AB,SE0000667925,"1,07",2023-04-26,
Marshall Wace LLP,Stillfront Group AB (publ),SE0015346135,"0,54",2023-04-26,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"0,8",2023-04-26,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Billerud Aktiebolag (publ),SE0000862997,"<0,5",2023-04-26,
Qube Research & Technologies Limited,Mips AB,SE0009216278,"0,73",2023-04-26,
Citadel Advisors LLC,Resurs Holding AB (publ),SE0007665823,"0,61",2023-04-26,
Qube Research & Technologies Limited,Thule Group AB,SE0006422390,"0,69",2023-04-26,
BlackRock Investment Management (UK) Limited,Embracer Group AB,SE0016828511,"0,87",2023-04-26,
LMR Partners LLP,DistIT AB,SE0003883800,"<0,5",2023-04-26,
Pantechnicon Advisors LLP,Dometic Group AB (publ),SE0007691613,"0,96",2023-04-26,
CapeView Capital LLP,Hexatronic Group AB,SE0018040677,"<0,5",2023-04-26,
Viking Global Investors LP,Svenska Handelsbanken AB,SE0007100599,"0,58",2023-04-26,
Arrowstreet Capital Limited Partnership,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,5",2023-04-26,
Atika Capital Management ,Intrum AB,SE0000936478,"<0,5",2023-04-26,
Tenzing Global Management LLC,Mips AB,SE0009216278,"0,57",2023-04-26,
59 North Capital Management LP,Intrum AB,SE0000936478,"1,81",2023-04-26,
Shadowfall Capital & Research LLP,Dometic Group AB (publ),SE0007691613,"<0,5",2023-04-26,
JPMorgan Asset Management (UK) Ltd,Boozt AB,SE0009888738,"0,98",2023-04-25,
Mirabella Financial Services LLP,JM AB,SE0000806994,"1,23",2023-04-25,
Walleye Capital LLC,JM AB,SE0000806994,"0,5",2023-04-25,
GSA Capital Partners LLP,Fingerprint Cards AB,SE0008374250,"1,11",2023-04-25,
Citadel Advisors LLC,Boliden AB,SE0017768716,"0,54",2023-04-25,
Citadel Advisors Europe Limited,Fabege AB,SE0011166974,"0,51",2023-04-25,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Billerud Aktiebolag (publ),SE0000862997,"0,5",2023-04-25,
 Millennium Capital Partners LLP ,SSAB AB,SE0000120669,"0,59",2023-04-25,
Qube Research & Technologies Limited,Thule Group AB,SE0006422390,"0,7",2023-04-25,
AQR Capital Management LLC,Aktiebolaget Electrolux,SE0016589188,"0,59",2023-04-25,
Citadel Advisors LLC,BHG Group AB,SE0010948588,"0,91",2023-04-25,
ELEVA CAPITAL S.A.S,Hexatronic Group AB,SE0018040677,"0,5",2023-04-25,
DNB Asset Management AS,Viaplay Group AB (publ),SE0012116390,"0,94",2023-04-25,
Arrowstreet Capital Limited Partnership,Castellum Aktiebolag,SE0000379190,"0,6",2023-04-25,
Tenzing Global Management LLC,Mips AB,SE0009216278,"0,76",2023-04-25,
Gladstone Capital Management LLP,Hexatronic Group AB,SE0018040677,"0,71",2023-04-25,
59 North Capital Management LP,Hexatronic Group AB,SE0018040677,"0,7",2023-04-25,
Shadowfall Capital & Research LLP,Dometic Group AB (publ),SE0007691613,"0,57",2023-04-25,
Mirabella Financial Services LLP,Sinch AB (publ),SE0016101844,"0,5",2023-04-24,
Mirabella Financial Services LLP,JM AB,SE0000806994,"1,14",2023-04-24,
Morgan Stanley,DistIT AB,SE0003883800,"1,25",2023-04-24,
Praxis Alpha Partners LLP,JM AB,SE0000806994,"0,51",2023-04-24,
Landseer Asset Management UK LLP,Dometic Group AB (publ),SE0007691613,"<0,5",2023-04-24,
LMR Partners LLP,DistIT AB,SE0003883800,"3,08",2023-04-24,
Marshall Wace LLP,Husqvarna AB,SE0001662230,"<0,5",2023-04-24,
Marshall Wace LLP,Hexatronic Group AB,SE0018040677,"0,9",2023-04-24,
Schonfeld Strategic Advisors LLC,Orrön Energy AB,SE0000825820,"0,59",2023-04-24,
Qube Research & Technologies Limited,Mips AB,SE0009216278,"0,69",2023-04-24,
Qube Research & Technologies Limited,Intrum AB,SE0000936478,"0,69",2023-04-24,
WORLDQUANT LLC,Orrön Energy AB,SE0000825820,"1,63",2023-04-24,
Citadel Advisors LLC,Elekta AB (publ),SE0000163628,"1,89",2023-04-24,
ALCUR FONDER AB,Intrum AB,SE0000936478,"0,77",2023-04-24,
 Millennium Capital Partners LLP ,Billerud Aktiebolag (publ),SE0000862997,"0,6",2023-04-24,
AKO Capital LLP,Thule Group AB,SE0006422390,"0,98",2023-04-24,
KERSLEY STREET CAPITAL LLP,Avanza Bank Holding AB,SE0012454072,"<0,5",2023-04-24,
BlackRock Financial Management Inc,Intrum AB,SE0000936478,"0,6",2023-04-24,
BlackRock Investment Management (UK) Limited,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,84",2023-04-24,
CapeView Capital LLP,Hexatronic Group AB,SE0018040677,"0,57",2023-04-24,
ALCUR FONDER AB,Kinnevik AB,SE0015810247,"0,62",2023-04-21,
Point72 Asset Management LP,Orrön Energy AB,SE0000825820,"2,3",2023-04-21,
Balyasny Asset Management (UK) LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,51",2023-04-21,
Morgan Stanley,DistIT AB,SE0003883800,"1,09",2023-04-21,
59 North Capital Management LP,Hexatronic Group AB,SE0018040677,"0,65",2023-04-21,
AQR Capital Management LLC,Svenska Cellulosa Aktiebolaget SCA,SE0000112724,"0,59",2023-04-21,
Kuvari Partners LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"0,7",2023-04-21,
Perbak Capital Partners LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,2",2023-04-21,
WORLDQUANT LLC,Orrön Energy AB,SE0000825820,"1,52",2023-04-21,
Voleon Capital Management LP,Hansa Biopharma AB,SE0002148817,"0,61",2023-04-21,
ELEVA CAPITAL S.A.S,Munters Group AB,SE0009806607,"0,66",2023-04-21,
AKO Capital LLP,Thule Group AB,SE0006422390,"1,35",2023-04-21,
Gladstone Capital Management LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,09",2023-04-21,
Arrowstreet Capital Limited Partnership,Sinch AB (publ),SE0016101844,"1,62",2023-04-21,
59 North Capital Management LP,Hexatronic Group AB,SE0018040677,"0,53",2023-04-20,
Marble Bar Asset Management LLP,Hexatronic Group AB,SE0018040677,"0,9",2023-04-20,
Mirabella Financial Services LLP,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,"1,3",2023-04-20,
Acadian Asset Management LLC,VNV Global AB (publ),SE0014428835,"0,9",2023-04-20,
GSA Capital Partners LLP,CATENA MEDIA P.L.C,MT0001000109,"0,58",2023-04-20,
Schonfeld Strategic Advisors LLC,Orrön Energy AB,SE0000825820,"0,68",2023-04-20,
Marshall Wace LLP,Husqvarna AB,SE0001662230,"0,52",2023-04-20,
Perbak Capital Partners LLP,Embracer Group AB,SE0016828511,"0,7",2023-04-20,
Citadel Advisors LLC,Re:NewCell AB,SE0014960431,"<0,5",2023-04-20,
WORLDQUANT LLC,Orrön Energy AB,SE0000825820,"1,42",2023-04-20,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Aktiebolaget Electrolux,SE0016589188,"<0,5",2023-04-20,
Qube Research & Technologies Limited,Mips AB,SE0009216278,"0,7",2023-04-20,
LMR Partners LLP,DistIT AB,SE0003883800,"3,79",2023-04-20,
AKO Capital LLP,Thule Group AB,SE0006422390,"1,49",2023-04-20,
Tenzing Global Management LLC,Mips AB,SE0009216278,"0,87",2023-04-20,
Gladstone Capital Management LLP,Hexatronic Group AB,SE0018040677,"0,61",2023-04-20,
Mirabella Financial Services LLP,JM AB,SE0000806994,"0,92",2023-04-19,
GREENVALE CAPITAL LLP,Elekta AB (publ),SE0000163628,"2,47",2023-04-19,
Marshall Wace LLP,Securitas AB,SE0000163594,"<0,5",2023-04-19,
Marshall Wace LLP,Husqvarna AB,SE0001662230,"<0,5",2023-04-19,
WORLDQUANT LLC,Orrön Energy AB,SE0000825820,"1,22",2023-04-19,
Citadel Advisors LLC,Hemnet Group AB (publ),SE0015671995,"0,79",2023-04-19,
Citadel Advisors LLC,Mips AB,SE0009216278,"0,57",2023-04-19,
Citadel Advisors LLC,Billerud Aktiebolag (publ),SE0000862997,"<0,5",2023-04-19,
Capital Fund Management SA,Aktiebolaget Electrolux,SE0016589188,"<0,5",2023-04-19,
MILLENNIUM INTERNATIONAL MANAGEMENT LP,Husqvarna AB,SE0001662230,"<0,5",2023-04-19,
