Position Holder:,Name of the Issuer:,ISIN:,Net short position %:,Position Date:
Marshall Wace LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.49%,2023-07-04
Marshall Wace LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.50%,2023-06-27
Marshall Wace LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.49%,2023-06-26
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.09%,2023-06-21
Marshall Wace LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.50%,2023-05-31
Greenvale Capital LLP,KERRY GROUP PLC-A,IE0004906560,0.50%,2023-05-25
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.10%,2023-04-28
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,1.00%,2023-03-27
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,0.90%,2023-03-15
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,0.84%,2023-03-14
Marshall Wace LLP,Flutter Entertainment PLC,IE00BWT6H894,0.10%,2023-03-03
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,0.70%,2023-02-15
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.49%,2023-02-13
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.51%,2023-02-10
Millennium International Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.49%,2023-02-09
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.67%,2023-02-06
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.49%,2023-02-03
Marshall Wace LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.51%,2023-01-31
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.76%,2023-01-27
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.81%,2023-01-25
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,0.63%,2023-01-23
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,0.54%,2023-01-20
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.70%,2023-01-13
Millennium International Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2023-01-06
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.62%,2023-01-06
Millennium International Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.48%,2023-01-04
Millennium International Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2023-01-03
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.50%,2022-12-15
Marshall Wace LLP,Kerry Group PLC,IE0004906560,0.48%,2022-11-07
Greenvale Capital LLP,KERRY GROUP PLC-A,IE0004906560,0.45%,2022-11-03
"Bridgewater Associates, LP",CRH PLC,IE0001827041,0.49%,2022-10-31
Marshall Wace LLP,Kerry Group PLC,IE0004906560,0.50%,2022-10-26
Marshall Wace LLP,Kerry Group PLC,IE0004906560,0.49%,2022-10-25
Greenvale Capital LLP,KERRY GROUP PLC-A,IE0004906560,0.59%,2022-10-20
Greenvale Capital LLP,KERRY GROUP PLC-A,IE0004906560,0.62%,2022-10-14
"Bridgewater Associates, LP",CRH PLC,IE0001827041,0.52%,2022-09-30
Greenvale Capital LLP,KERRY GROUP PLC-A,IE0004906560,0.50%,2022-09-28
Marshall Wace LLP,Kerry Group PLC,IE0004906560,0.59%,2022-09-21
Marshall Wace LLP,Kerry Group PLC,IE0004906560,0.60%,2022-09-20
Millennium Capital Partners LLP,Smurfit Kappa Group PLC,IE00B1RR8406,0.46%,2022-09-05
Millennium International Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.49%,2022-09-01
Marshall Wace LLP,Kerry Group PLC,IE0004906560,0.50%,2022-08-30
Millennium International Management LP,Smurfit Kappa Group PLC,IE00B1RR8406,0.53%,2022-08-26
